economic_exposure_family_id,economic_exposure_name,primary_rotation_role,research_maturity,first_valid_date,last_valid_date,valid_endpoint_count,five_year_window_start,data_cutoff,launched_within_final_five_years,valid_near_cutoff,implementation_transition_count,implementation_transition_dates,recent_external_event_count,recent_external_events,recent_external_event_dates,a3r2u_lse_current_status,current_implementable_view,lifecycle_primary_state,recent_survivorship_census_classification,survivorship_limitation,warning
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,BROAD_GEOGRAPHY_ROTATION,MATURE,2015-07-22,2026-08-21,2554.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUR_OVERNIGHT_CASH,Euro overnight-rate exposure,DEFENSIVE_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GBP_CORPORATE_IG,Sterling investment-grade corporate bonds,DEFENSIVE_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GBP_OVERNIGHT_CASH,Sterling overnight-rate exposure,INSUFFICIENT_DATA,NOT_APPLICABLE_NO_USABLE_HISTORY,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,THEME_ROTATION,NEW,2024-09-17,2026-08-21,489.0,2021-08-23,2026-08-21,YES,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,LAUNCHED_WITHIN_FINAL_FIVE_YEARS,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,Global aggregate bonds hedged to sterling,DEFENSIVE_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AGRIBUSINESS,Agricultural inputs and food value chain,THEME_ROTATION,MATURE,2011-10-12,2026-08-21,3650.0,2021-08-23,2026-08-21,NO,YES,49,2011-11-01;2011-11-04;2011-11-10;2011-11-28;2011-11-29;2011-12-22;2012-01-10;2012-01-23;2012-02-03;2012-02-16;2012-02-22;2012-03-16;2012-03-20;2012-05-04;2012-05-08;2012-05-15;2012-05-17;2012-06-28;2012-06-29;2012-07-05;2012-07-06;2012-07-16;2012-07-19;2012-08-02;2012-08-03;2012-08-07;2012-08-14;2012-08-21;2012-08-22;2012-09-06;2012-09-11;2012-09-14;2012-09-17;2012-09-27;2012-10-02;2012-10-09;2012-10-10;2012-10-17;2012-10-22;2012-11-02;2012-11-05;2012-11-07;2012-11-12;2012-11-29;2012-11-30;2013-03-18;2013-03-19;2017-11-09;2017-11-10,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AI,Artificial-intelligence value chain,THEME_ROTATION,DEVELOPING,2022-09-15,2026-08-21,994.0,2021-08-23,2026-08-21,YES,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,LAUNCHED_WITHIN_FINAL_FIVE_YEARS,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_ALL_WORLD,Developed and emerging all-world equities,BENCHMARK_REFERENCE,MATURE,2012-05-28,2026-08-21,3598.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_BANKS,Global banking industry,INSUFFICIENT_DATA,NOT_APPLICABLE_NO_USABLE_HISTORY,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,THEME_ROTATION,MATURE,2018-01-26,2026-08-21,2165.0,2021-08-23,2026-08-21,NO,YES,8,2022-12-28;2022-12-29;2023-05-09;2023-05-10;2023-05-30;2023-05-31;2023-08-29;2023-08-30,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_BIOTECHNOLOGY,Biotechnology industry,INDUSTRY_ROTATION,MATURE,2014-11-12,2026-08-21,2726.0,2021-08-23,2026-08-21,NO,YES,335,2020-07-01;2020-07-03;2020-07-16;2020-07-20;2020-07-21;2020-07-23;2020-07-29;2020-07-31;2020-09-09;2020-09-11;2020-09-14;2020-09-17;2020-09-28;2020-09-30;2020-10-12;2020-10-14;2020-10-26;2020-10-28;2020-10-30;2020-11-03;2020-11-10;2020-11-16;2020-11-17;2020-11-24;2020-11-25;2020-12-02;2020-12-07;2020-12-10;2020-12-14;2020-12-21;2020-12-22;2021-01-06;2021-01-07;2021-01-25;2021-01-26;2021-02-08;2021-02-10;2021-02-15;2021-02-16;2021-02-19;2021-02-22;2021-03-03;2021-03-04;2021-03-10;2021-03-11;2021-03-15;2021-03-16;2021-03-22;2021-03-23;2021-04-07;2021-04-09;2021-04-13;2021-04-14;2021-04-30;2021-05-05;2021-05-11;2021-05-12;2021-05-20;2021-05-27;2021-06-02;2021-06-07;2021-06-14;2021-06-15;2021-06-18;2021-06-21;2021-07-05;2021-07-06;2021-07-08;2021-07-13;2021-07-26;2021-07-27;2021-07-29;2021-08-03;2021-08-16;2021-08-17;2021-08-20;2021-08-23;2021-09-06;2021-09-07;2021-09-13;2021-09-14;2021-09-27;2021-09-29;2021-10-12;2021-10-13;2021-10-15;2021-10-29;2021-11-09;2021-11-11;2021-11-17;2021-11-18;2021-11-23;2021-11-24;2021-11-26;2021-12-01;2021-12-03;2021-12-06;2021-12-09;2021-12-14;2021-12-17;2021-12-20;2021-12-22;2022-01-10;2022-01-12;2022-01-17;2022-01-21;2022-01-24;2022-02-02;2022-02-03;2022-02-07;2022-02-10;2022-02-15;2022-02-21;2022-02-23;2022-02-25;2022-03-03;2022-03-04;2022-03-08;2022-03-09;2022-03-14;2022-03-15;2022-03-17;2022-03-21;2022-03-24;2022-03-25;2022-03-31;2022-04-01;2022-04-07;2022-04-08;2022-04-14;2022-04-27;2022-05-03;2022-05-04;2022-05-09;2022-05-17;2022-05-19;2022-05-20;2022-05-27;2022-06-01;2022-06-28;2022-06-29;2022-07-06;2022-07-08;2022-07-13;2022-07-26;2022-08-08;2022-08-09;2022-08-11;2022-08-15;2022-08-18;2022-09-02;2022-09-08;2022-09-14;2022-09-16;2022-09-26;2022-10-03;2022-10-04;2022-10-07;2022-10-20;2022-10-24;2022-10-25;2022-10-28;2022-11-02;2022-11-08;2022-11-16;2022-11-18;2022-12-01;2022-12-12;2022-12-13;2022-12-15;2022-12-21;2022-12-23;2023-01-04;2023-01-09;2023-01-12;2023-01-20;2023-01-27;2023-02-01;2023-02-02;2023-02-10;2023-02-13;2023-02-16;2023-02-24;2023-02-28;2023-03-01;2023-03-03;2023-03-09;2023-03-13;2023-03-15;2023-03-21;2023-03-23;2023-03-27;2023-03-28;2023-03-31;2023-04-03;2023-04-06;2023-04-11;2023-04-14;2023-04-19;2023-04-21;2023-04-25;2023-05-02;2023-05-03;2023-05-19;2023-05-31;2023-06-05;2023-06-13;2023-06-16;2023-06-26;2023-06-29;2023-06-30;2023-07-06;2023-07-14;2023-07-19;2023-07-25;2023-07-28;2023-08-01;2023-08-10;2023-08-29;2023-09-08;2023-09-13;2023-09-20;2023-09-27;2023-10-06;2023-10-16;2023-10-18;2023-10-19;2023-10-23;2023-10-26;2023-10-31;2023-11-10;2023-11-14;2023-11-15;2023-11-20;2023-11-22;2023-11-24;2023-11-28;2023-12-05;2023-12-06;2023-12-12;2023-12-15;2023-12-21;2023-12-22;2023-12-28;2024-01-03;2024-01-09;2024-01-10;2024-01-17;2024-01-30;2024-02-05;2024-02-06;2024-02-09;2024-02-14;2024-02-21;2024-02-22;2024-02-27;2024-02-29;2024-03-18;2024-03-20;2024-03-25;2024-03-26;2024-04-11;2024-04-12;2024-04-22;2024-04-23;2024-04-25;2024-05-01;2024-05-03;2024-05-13;2024-05-15;2024-05-17;2024-05-21;2024-05-29;2024-05-31;2024-06-03;2024-06-10;2024-06-17;2024-06-19;2024-06-27;2024-07-03;2024-07-04;2024-07-08;2024-07-09;2024-07-15;2024-07-24;2024-07-26;2024-07-29;2024-08-07;2024-08-12;2024-08-15;2024-08-22;2024-08-28;2024-09-03;2024-09-05;2024-09-10;2024-09-13;2024-09-23;2024-09-30;2024-10-01;2024-10-08;2024-10-29;2024-10-31;2024-11-04;2024-11-12;2024-11-13;2024-11-18;2024-11-27;2024-12-04;2024-12-18;2024-12-20;2025-01-13;2025-01-21;2025-01-22;2025-01-30;2025-02-03;2025-02-10;2025-02-12;2025-02-19;2025-02-24;2025-02-27;2025-03-04;2025-03-06;2025-03-11;2025-03-13;2025-03-17;2025-03-21;2025-03-25;2025-03-31;2025-04-01;2025-04-09;2025-04-11;2025-04-16;2025-04-23;2025-04-28;2025-04-29,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CLEAN_ENERGY,Clean-energy value chain,THEME_ROTATION,MATURE,2020-11-02,2026-08-21,1465.0,2021-08-23,2026-08-21,NO,YES,1,2021-03-05,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_COMMUNICATION_SERVICES,Broad global communication services sector,SECTOR_ROTATION,MATURE,2016-05-09,2026-08-21,2575.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CONSUMER_DISCRETIONARY,Broad global consumer discretionary sector,SECTOR_ROTATION,DEVELOPING,2016-06-09,2026-08-21,1067.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CONSUMER_STAPLES,Broad global consumer staples sector,SECTOR_ROTATION,MATURE,2016-05-09,2026-08-21,2590.0,2021-08-23,2026-08-21,NO,YES,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CONTINUING_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CORPORATE_IG_GBP_HEDGED,Global investment-grade corporate bonds hedged to sterling,INSUFFICIENT_DATA,NOT_APPLICABLE_NO_USABLE_HISTORY,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CYBERSECURITY,Global cybersecurity businesses,THEME_ROTATION,MATURE,2020-06-03,2026-08-21,1569.0,2021-08-23,2026-08-21,NO,YES,4,2020-08-05;2020-08-07;2020-08-26;2020-08-27,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_DEVELOPED_WORLD,Broad developed-world equities,BENCHMARK_REFERENCE,MATURE,2010-01-08,2026-08-21,3901.0,2021-08-23,2026-08-21,NO,YES,60,2010-11-05;2010-11-12;2010-12-01;2010-12-07;2010-12-30;2011-01-05;2011-02-11;2011-02-14;2011-02-23;2011-03-01;2011-03-04;2011-03-07;2011-04-06;2011-04-07;2011-04-14;2011-04-15;2011-05-23;2011-05-24;2011-06-29;2011-07-07;2011-07-12;2011-07-13;2011-10-28;2011-10-31;2011-11-08;2011-11-09;2011-11-25;2011-11-28;2011-12-19;2011-12-21;2012-01-10;2012-01-11;2012-08-16;2012-08-17;2012-09-12;2012-09-13;2012-09-21;2012-09-24;2012-09-26;2012-10-01;2012-10-08;2012-10-16;2012-11-01;2012-11-02;2012-11-08;2012-11-14;2012-12-05;2012-12-06;2012-12-20;2012-12-24;2013-02-12;2013-02-13;2013-02-15;2013-02-18;2013-03-25;2013-03-28;2013-04-30;2013-05-01;2017-11-09;2017-11-10,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_DEVELOPED_WORLD_EUR_HEDGED,Broad developed-world equities hedged to EUR,BENCHMARK_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_DEVELOPED_WORLD_GBP_HEDGED,Broad developed-world equities hedged to GBP,BENCHMARK_REFERENCE,MATURE,,,,2021-08-23,2026-08-21,NO,NO,0,NOT_APPLICABLE,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,NO_VALID_IMPLEMENTATION_HISTORY,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_ENERGY,Broad global energy sector,SECTOR_ROTATION,MATURE,2012-01-06,2026-08-21,3692.0,2021-08-23,2026-08-21,NO,YES,4,2018-12-27;2018-12-28;2019-12-27;2019-12-30,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_FINANCIALS,Broad global financials sector,SECTOR_ROTATION,MATURE,2012-04-11,2026-08-21,3344.0,2021-08-23,2026-08-21,NO,YES,13,2017-01-25;2017-01-26;2019-10-25;2019-10-28;2020-07-23;2020-07-27;2020-08-18;2020-08-19;2020-08-26;2020-08-27;2022-03-29;2023-04-11;2023-04-12,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_GENOMICS,Genomics and genomic medicine,THEME_ROTATION,DEVELOPING,2021-11-05,2026-08-21,1209.0,2021-08-23,2026-08-21,YES,YES,3,2021-11-09;2023-01-03;2023-01-04,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_GOLD_MINERS,Global gold-mining equities,INDUSTRY_ROTATION,MATURE,2008-11-27,2026-08-21,4223.0,2021-08-23,2026-08-21,NO,YES,8,2009-01-07;2012-05-29;2012-05-30;2017-02-03;2017-08-29;2017-08-30;2026-05-05;2026-05-06,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_HEALTHCARE,Broad global healthcare sector,SECTOR_ROTATION,MATURE,2011-05-19,2026-08-21,3364.0,2021-08-23,2026-08-21,NO,YES,1,2022-04-07,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CONFIRMED,NO,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_INDUSTRIALS,Broad global industrials sector,SECTOR_ROTATION,MATURE,2016-04-07,2026-08-21,2610.0,2021-08-23,2026-08-21,NO,YES,1,2023-08-17,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_INFRASTRUCTURE,Global listed infrastructure,THEME_ROTATION,MATURE,2006-10-26,2026-08-21,4918.0,2021-08-23,2026-08-21,NO,YES,18,2008-10-03;2008-10-06;2008-12-03;2008-12-04;2009-05-05;2009-05-06;2009-06-15;2009-06-16;2009-07-02;2009-07-03;2010-03-25;2010-03-26;2010-04-26;2010-04-27;2010-07-14;2010-07-16;2011-03-04;2011-03-07,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_MATERIALS,Broad global materials sector,SECTOR_ROTATION,MATURE,2017-10-27,2026-08-21,1575.0,2021-08-23,2026-08-21,NO,YES,1,2023-08-17,0,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,YES,CANONICAL_IMPLEMENTATION_TRANSITION,RECENT_FIVE_YEAR_CENSUS_SUBSTANTIALLY_COMPLETE,CURRENT_LSE_CENSUS_PLUS_MASTER_LINEAGE_AND_PRIMARY_ISSUER_EVENTS; NO_COMPLETE_LICENSED_HISTORICAL_LSE_DELISTING_FEED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
